1364:jerry fowler
1365:tremaine fowlkes
1366:de'aaron fox
1367:harold fox
1368:jim fox
1369:rick fox
1370:randy foye
1371:adonal foyle
1372:richie frahm
1373:steve francis
1374:tellis frank
1375:nat frankel
1376:jamaal franklin
1377:william franklin
1378:ronald franz
1379:melvin frazier
1380:michael frazier
1381:tim frazier
1382:walt frazier
1383:will frazier
1384:anthony frederick
1385:jimmer fredette
1386:world b. free
1387:joel freeland
1388:donnie freeman
1389:gary freeman
1390:rod freeman
1391:matt freije
1392:frido frey
1393:larry friend
1394:pat frink
1395:jim fritsche
1396:channing frye
1397:bernie fryer
1398:frank fucarino
1399:herm fuetsch
1400:joe fulks
1401:carl fuller
1402:hiram fuller
1403:todd fuller
1404:tony fuller
1405:markelle fultz
1406:lawrence funderburke
1407:terry furlow
1408:bill gabor
1409:wenyen gabriel
1410:dan gadzuric
1411:daniel gafford
1412:deng gai
1413:elmer gainer
1414:bill gaines
1415:corey gaines
1416:david gaines
1417:reece gaines
1418:sundiata gaines
1419:mike gale
1420:chad gallagher
1421:harry gallatin
1422:gene gallette
1423:danilo gallinari
1424:langston galloway
1425:dave gambee
1426:kevin gamble
1427:bob gantt
1428:jorge garbajosa
1429:rubén garcés
1430:alex garcia
1431:francisco garcía
1432:chuck gardner
1433:earl gardner
1434:kenneth gardner
1435:thomas gardner
1436:vern gardner
1437:jack garfinkel
1438:patricio garino
1439:darius garland
1440:gary garland
1441:winston garland
1442:dick garmaker
1443:bill garner
1444:chris garner
1445:bill garnett
1446:kevin garnett
1447:marlon garnett
1448:billy garrett
1449:calvin garrett
1450:dean garrett
1451:diante garrett
1452:dick garrett
1453:rowland garrett
1454:tom garrick
1455:john garris
1456:kiwane garris
1457:pat garrity
1458:jim garvin
1459:marc gasol
1460:pau gasol
1461:frank gates
1462:chris gatling
1463:kenny gattison
1464:rudy gay
1465:ed gayda
1466:andrew gaze
1467:michael gbinije
1468:reggie geary
1469:alonzo gee
1470:matt geiger
1471:mickaël gelabale
1472:devean george
1473:jack george
1474:paul george
1475:tate george
1476:marcus georges-hunt
1477:gus gerard
1478:derrick gervin
1479:george gervin
1480:gorham getchell
1481:john gianelli
1482:dick gibbs
1483:daniel gibson
1484:dee gibson
1485:hoot gibson
1486:jonathan gibson
1487:mel gibson
1488:mike gibson
1489:taj gibson
1490:j.r. giddens
1491:trey gilder
1492:harry giles
1493:shai gilgeous-alexander
1494:eddie gill
1495:kendall gill
1496:ben gillery
1497:jack gillespie
1498:armen gilliam
1499:herm gilliam
1500:artis gilmore
1501:walt gilmore
1502:chuck gilmur
1503:manu ginóbili
1504:gordan giriček
1505:jack givens
1506:mickell gladness
1507:george glamack
1508:gerald glass
1509:mike glenn
1510:normie glick
1511:georgi glouchkov
1512:clarence glover
1513:dion glover
1514:andreas glyniadakis
1515:mike gminski
1516:rudy gobert
1517:dan godfread
1518:tom gola
1519:ben goldfaden
1520:anthony goldwire
1521:ryan gomes
1522:glen gondrezick
1523:grant gondrezick
1524:drew gooden
1525:gail goodrich
1526:steve goodrich
1527:archie goodwin
1528:brandon goodwin
1529:pop goodwin
1530:aaron gordon
1531:ben gordon
1532:drew gordon
1533:eric gordon
1534:lancaster gordon
1535:paul gordon
1536:marcin gortat
1537:leo gottlieb
1538:andrew goudelock
1539:gerald govan
1540:bato govedarica
1541:joe graboski
1542:ricky grace
1543:calvin graham
1544:devonte' graham
1545:greg graham
1546:joey graham
1547:mal graham
1548:orlando graham
1549:paul graham
1550:stephen graham
1551:treveon graham
1552:jim grandholm
1553:ron grandison
1554:danny granger
1555:stewart granger
1556:brian grant
1557:bud grant
1558:gary grant
1559:greg grant
1560:harvey grant
1561:horace grant
1562:jerami grant
1563:jerian grant
1564:josh grant
1565:paul grant
1566:travis grant
1567:donte grantham
1568:don grate
1569:butch graves
1570:aaron gray
1571:devin gray
1572:ed gray
1573:evric gray
1574:gary gray
1575:josh gray
1576:leonard gray
1577:stuart gray
1578:sylvester gray
1579:wyndol gray
1580:jeff grayer
1581:bob greacen
1582:a.c. green
1583:danny green
1584:devin green
1585:draymond green
1586:erick green
1587:gerald green
1588:jamychal green
1589:javonte green
1590:jeff green
1591:johnny green
1592:ken green
1593:kenny green
1594:lamar green
1595:litterial green
1596:luther green
1597:mike green
1598:rickey green
1599:sean green
1600:si green
1601:sidney green
1602:steve green
1603:taurean green
1604:tommie green
1605:willie green
1606:donté greene
1607:orien greene
1608:jerry greenspan
1609:dave greenwood
1610:hal greer
1611:lynn greer
1612:gary gregor
1613:claude gregory
